Token	Stem	Lemma
from	from	from
Tel	tel	Tel
Aviv	aviv	Aviv
Israel	israel	Israel
is	is	is
the	the	the
only	onli	only
country	countri	country
where	where	where
the	the	the
United	unit	United
States	state	States
has	has	ha
an	an	an
embassy	embassi	embassy
in	in	in
a	a	a
city	citi	city
that	that	that
the	the	the
host	host	host
nation	nation	nation
does	doe	doe
not	not	not
consider	consid	consider
its	it	it
capital	capit	capital
I	i	I
have	have	have
determined	determin	determined
that	that	that
it	it	it
is	is	is
time	time	time
to	to	to
officially	offici	officially
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
Trump	trump	Trump
said	said	said
While	while	While
previous	previous	previous
presidents	presid	president
have	have	have
made	made	made
this	this	this
a	a	a
major	major	major
campaign	campaign	campaign
promise	promis	promise
they	they	they
failed	fail	failed
to	to	to
deliver	deliv	deliver
Today	today	Today
I	i	I
am	am	am
delivering	deliv	delivering
When	when	When
I	i	I
came	came	came
into	into	into
office	offic	office
I	i	I
promised	promis	promised
to	to	to
look	look	look
at	at	at
the	the	the
world	world	world
s	s	s
challenges	challeng	challenge
with	with	with
open	open	open
eyes	eye	eye
and	and	and
very	veri	very
fresh	fresh	fresh
thinking	think	thinking
he	he	he
said	said	said
leaning	lean	leaning
heavily	heavili	heavily
on	on	on
a	a	a
mid	mid	mid
-1990s	-1990s	-1990s
federal	feder	federal
law	law	law
that	that	that
demanded	demand	demanded
the	the	the
embassy	embassi	embassy
s	s	s
relocation	reloc	relocation
We	we	We
have	have	have
declined	declin	declined
to	to	to
acknowledge	acknowledg	acknowledge
any	ani	any
Israeli	isra	Israeli
capital	capit	capital
at	at	at
all	all	all
Trump	trump	Trump
added	ad	added
But	but	But
today	today	today
we	we	we
finally	final	finally
acknowledge	acknowledg	acknowledge
the	the	the
obvious	obvious	obvious
that	that	that
Jerusalem	jerusalem	Jerusalem
is	is	is
Israel	israel	Israel
s	s	s
capital	capit	capital
This	this	This
is	is	is
nothing	noth	nothing
more	more	more
or	or	or
less	less	le
than	than	than
a	a	a
recognition	recognit	recognition
of	of	of
reality	realiti	reality
It	it	It
is	is	is
also	also	also
the	the	the
right	right	right
thing	thing	thing
to	to	to
do	do	do
It	it	It
is	is	is
something	someth	something
that	that	that
has	has	ha
to	to	to
be	be	be
done	done	done
Matthew	matthew	Matthew
Continetti	continetti	Continetti
of	of	of
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
seems	seem	seems
to	to	to
think	think	think
so	so	so
Continetti	continetti	Continetti
wrote	wrote	wrote
the	the	the
best	best	best
piece	piec	piece
on	on	on
Trump	trump	Trump
s	s	s
bold	bold	bold
decision	decis	decision
to	to	to
move	move	move
the	the	the
embassy	embassi	embassy
that	that	that
we	we	we
have	have	have
seen	seen	seen
to	to	to
date	date	date
Not	not	Not
only	onli	only
is	is	is
President	presid	President
Trump	trump	Trump
s	s	s
decision	decis	decision
to	to	to
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
the	the	the
capital	capit	capital
of	of	of
Israel	israel	Israel
and	and	and
begin	begin	begin
the	the	the
process	process	process
of	of	of
moving	move	moving
the	the	the
U	u	U
S	s	S
embassy	embassi	embassy
there	there	there
one	one	one
of	of	of
the	the	the
boldest	boldest	boldest
moves	move	move
of	of	of
his	his	his
presidency	presid	presidency
It	it	It
is	is	is
one	one	one
of	of	of
the	the	the
boldest	boldest	boldest
moves	move	move
any	ani	any
U	u	U
S	s	S
president	presid	president
has	has	ha
made	made	made
since	sinc	since
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
Oslo	oslo	Oslo
peace	peac	peace
process	process	process
in	in	in
1993	1993	1993
That	that	That
process	process	process
collapsed	collaps	collapsed
at	at	at
Camp	camp	Camp
David	david	David
in	in	in
2000	2000	2000
when	when	when
Yasir	yasir	Yasir
Arafat	arafat	Arafat
rejected	reject	rejected
President	presid	President
Clinton	clinton	Clinton
s	s	s
offer	offer	offer
of	of	of
a	a	a
Palestinian	palestinian	Palestinian
state	state	state
And	and	And
the	the	the
process	process	process
has	has	ha
been	been	been
moribund	moribund	moribund
ever	ever	ever
since	sinc	since
despite	despit	despite
multiple	multipl	multiple
attempts	attempt	attempt
to	to	to
restart	restart	restart
it	it	it
That	that	That
is	is	is
why	whi	why
the	the	the
warnings	warn	warning
from	from	from
Trump	trump	Trump
critics	critic	critic
that	that	that
his	his	his
decision	decis	decision
may	may	may
wreck	wreck	wreck
the	the	the
peace	peac	peace
process	process	process
ring	ring	ring
hollow	hollow	hollow
There	there	There
is	is	is
no	no	no
peace	peac	peace
process	process	process
to	to	to
wreck	wreck	wreck
The	the	The
conflict	conflict	conflict
is	is	is
frozen	frozen	frozen
And	and	And
the	the	the
largest	largest	largest
barriers	barrier	barrier
to	to	to
the	the	the
resumption	resumpt	resumption
of	of	of
negotiations	negoti	negotiation
are	are	are
found	found	found
not	not	not
in	in	in
U	u	U
S	s	S
or	or	or
Israeli	isra	Israeli
policy	polici	policy
but	but	but
in	in	in
Palestinian	palestinian	Palestinian
autocracy	autocraci	autocracy
corruption	corrupt	corruption
and	and	and
incitement	incit	incitement
Have	have	Have
the	the	the
former	former	former
Obama	obama	Obama
administration	administr	administration
officials	offici	official
decrying	decri	decrying
Trump	trump	Trump
s	s	s
announcement	announc	announcement
read	read	read
a	a	a
newspaper	newspap	newspaper
lately	late	lately
From	from	From
listening	listen	listening
to	to	to
them	them	them
you	you	you
d	d	d
think	think	think
it	it	it
would	would	would
be	be	be
all	all	all
roses	rose	rose
and	and	and
ponies	poni	pony
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
but	but	but
for	for	for
Trump	trump	Trump
In	in	In
fact	fact	fact
the	the	the
region	region	region
is	is	is
engulfed	engulf	engulfed
in	in	in
war	war	war
terrorism	terror	terrorism
poverty	poverti	poverty
and	and	and
despotism	despot	despotism
Israel	israel	Israel
faces	face	face
threats	threat	threat
in	in	in
the	the	the
north	north	north
and	and	and
south	south	south
its	it	it
sworn	sworn	sworn
enemy	enemi	enemy
Iran	iran	Iran
is	is	is
growing	grow	growing
in	in	in
influence	influenc	influence
and	and	and
reach	reach	reach
and	and	and
the	the	the
delegitimization	delegitim	delegitimization
of	of	of
the	the	the
Jewish	jewish	Jewish
State	state	State
proceeds	proceed	proceeds
apace	apac	apace
in	in	in
international	intern	international
organizations	organ	organization
and	and	and
on	on	on
college	colleg	college
campuses	campus	campus
I	i	I
forget	forget	forget
how	how	how
the	the	the
Obama	obama	Obama
administration	administr	administration
advanced	advanc	advanced
the	the	the
cause	caus	cause
of	of	of
peace	peac	peace
by	by	by
pressuring	pressur	pressuring
Israel	israel	Israel
while	while	while
rewarding	reward	rewarding
the	the	the
largest	largest	largest
state	state	state
sponsor	sponsor	sponsor
of	of	of
terrorism	terror	terrorism
in	in	in
the	the	the
world	world	world
Maybe	mayb	Maybe
someone	someon	someone
will	will	will
remind	remind	remind
me	me	me
A	a	A
similar	similar	similar
form	form	form
of	of	of
doublethink	doublethink	doublethink
is	is	is
present	present	present
in	in	in
our	our	our
discussions	discuss	discussion
over	over	over
Jerusalem	jerusalem	Jerusalem
Every	everi	Every
Israeli	isra	Israeli
knows	know	know
Jerusalem	jerusalem	Jerusalem
was	was	wa
is	is	is
and	and	and
will	will	will
remain	remain	remain
his	his	his
capital	capit	capital
Every	everi	Every
recent	recent	recent
president	presid	president
has	has	ha
agreed	agre	agreed
with	with	with
him	him	him
And	and	And
the	the	the
U	u	U
S	s	S
consensus	consensus	consensus
has	has	ha
been	been	been
bipartisan	bipartisan	bipartisan
The	the	The
last	last	last
four	four	four
Democratic	democrat	Democratic
platforms	platform	platform
have	have	have
said	said	said
the	the	the
obvious	obvious	obvious
that	that	that
Jerusalem	jerusalem	Jerusalem
is	is	is
Israel	israel	Israel
s	s	s
capital	capit	capital
The	the	The
Senate	senat	Senate
voted	vote	voted
90	90	90
-0	-0	-0
only	onli	only
six	six	six
months	month	month
ago	ago	ago
urging	urg	urging
the	the	the
embassy	embassi	embassy
be	be	be
moved	move	moved
to	to	to
the	the	the
ancient	ancient	ancient
city	citi	city
Were	were	Were
we	we	we
to	to	to
take	take	take
seriously	serious	seriously
neither	neither	neither
these	these	these
platforms	platform	platform
nor	nor	nor
that	that	that
vote	vote	vote
Was	was	Was
it	it	it
all	all	all
virtue	virtu	virtue
-signaling	-signal	-signaling
a	a	a
bunch	bunch	bunch
of	of	of
empty	empti	empty
gestures	gestur	gesture
in	in	in
the	the	the
kabuki	kabuki	kabuki
theater	theater	theater
of	of	of
U	u	U
S	s	S
diplomacy	diplomaci	diplomacy
It	it	It
is	is	is
a	a	a
sign	sign	sign
of	of	of
the	the	the
disingenuousness	disingenu	disingenuousness
of	of	of
American	american	American
foreign	foreign	foreign
policy	polici	policy
that	that	that
it	it	it
required	requir	required
someone	someon	someone
from	from	from
outside	outsid	outside
this	this	this
system	system	system
to	to	to
behave	behav	behave
as	as	a
if	if	if
words	word	word
have	have	have
meaning	mean	meaning
President	presid	President
Trump	trump	Trump
has	has	ha
no	no	no
background	background	background
in	in	in
or	or	or
admiration	admir	admiration
for	for	for
the	the	the
routines	routin	routine
manners	manner	manner
and	and	and
norms	norm	norm
of	of	of
the	the	the
U	u	U
S	s	S
foreign	foreign	foreign
service	servic	service
especially	especi	especially
that	that	that
part	part	part
of	of	of
it	it	it
which	which	which
specializes	special	specializes
in	in	in
the	the	the
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
conflict	conflict	conflict
This	this	This
has	has	ha
enabled	enabl	enabled
him	him	him
to	to	to
state	state	state
unequivocally	unequivoc	unequivocally
the	the	the
fact	fact	fact
others	other	others
would	would	would
prefer	prefer	prefer
to	to	to
avoid	avoid	avoid
Jerusalem	jerusalem	Jerusalem
is	is	is
Israel	israel	Israel
s	s	s
capital	capit	capital
full	full	full
stop	stop	stop
His	his	His
transactional	transact	transactional
nature	natur	nature
also	also	also
brought	brought	brought
him	him	him
to	to	to
this	this	this
fateful	fate	fateful
recognition	recognit	recognition
In	in	In
March	march	March
2016	2016	2016
at	at	at
the	the	the
AIPAC	aipac	AIPAC
policy	polici	policy
conference	confer	conference
he	he	he
pledged	pledg	pledged
that	that	that
We	we	We
will	will	will
move	move	move
the	the	the
American	american	American
embassy	embassi	embassy
to	to	to
the	the	the
eternal	etern	eternal
capital	capit	capital
of	of	of
the	the	the
Jewish	jewish	Jewish
people	peopl	people
Jerusalem	jerusalem	Jerusalem
His	his	His
remarks	remark	remark
today	today	today
make	make	make
clear	clear	clear
his	his	his
intention	intent	intention
to	to	to
fulfill	fulfil	fulfill
that	that	that
promise	promis	promise
and	and	and
to	to	to
cement	cement	cement
his	his	his
support	support	support
within	within	within
the	the	the
pro	pro	pro
-Israel	-israel	-Israel
community	communiti	community
I	i	I
wonder	wonder	wonder
about	about	about
the	the	the
journalists	journalist	journalist
and	and	and
flacks	flack	flack
and	and	and
politicians	politician	politician
criticizing	critic	criticizing
this	this	this
literal	liter	literal
reading	read	reading
of	of	of
U	u	U
S	s	S
law	law	law
as	as	a
disruptive	disrupt	disruptive
Have	have	Have
they	they	they
not	not	not
paid	paid	paid
attention	attent	attention
to	to	to
this	this	this
man	man	man
Donald	donald	Donald
Trump	trump	Trump
s	s	s
purpose	purpos	purpose
in	in	in
office	offic	office
is	is	is
to	to	to
disrupt	disrupt	disrupt
if	if	if
not	not	not
overturn	overturn	overturn
the	the	the
patterns	pattern	pattern
of	of	of
governance	govern	governance
and	and	and
ideological	ideolog	ideological
consensus	consensus	consensus
that	that	that
have	have	have
dominated	domin	dominated
the	the	the
U	u	U
S	s	S
capital	capit	capital
for	for	for
decades	decad	decade
In	in	In
this	this	this
sense	sens	sense
his	his	his
Jerusalem	jerusalem	Jerusalem
policy	polici	policy
is	is	is
his	his	his
presidency	presid	presidency
in	in	in
microcosm	microcosm	microcosm
He	he	He
is	is	is
acting	act	acting
on	on	on
a	a	a
common	common	common
sense	sens	sense
appraisal	apprais	appraisal
of	of	of
the	the	the
world	world	world
and	and	and
satisfying	satisfi	satisfying
the	the	the
wishes	wish	wish
of	of	of
his	his	his
supporters	support	supporter
without	without	without
regard	regard	regard
to	to	to
global	global	global
or	or	or
domestic	domest	domestic
elite	elit	elite
opinion	opinion	opinion
What	what	What
Trump	trump	Trump
knows	know	know
more	more	more
than	than	than
the	the	the
art	art	art
of	of	of
the	the	the
deal	deal	deal
is	is	is
the	the	the
art	art	art
of	of	of
the	the	the
bluff	bluff	bluff
and	and	and
how	how	how
to	to	to
call	call	call
one	one	one
By	by	By
keeping	keep	keeping
his	his	his
campaign	campaign	campaign
promise	promis	promise
today	today	today
he	he	he
has	has	ha
called	call	called
the	the	the
bluff	bluff	bluff
of	of	of
everyone	everyon	everyone
who	who	who
thought	thought	thought
the	the	the
United	unit	United
States	state	States
could	could	could
have	have	have
its	it	it
cake	cake	cake
and	and	and
eat	eat	eat
it	it	it
too	too	too
on	on	on
the	the	the
question	question	question
of	of	of
Israel	israel	Israel
s	s	s
capital	capit	capital
And	and	And
by	by	by
moving	move	moving
our	our	our
embassy	embassi	embassy
to	to	to
Jerusalem	jerusalem	Jerusalem
the	the	the
United	unit	United
States	state	States
will	will	will
acknowledge	acknowledg	acknowledge
Israel	israel	Israel
s	s	s
right	right	right
to	to	to
determine	determin	determine
its	it	it
own	own	own
capital	capit	capital
city	citi	city
That	that	That
is	is	is
not	not	not
something	someth	something
to	to	to
condemn	condemn	condemn
or	or	or
fear	fear	fear
It	it	It
is	is	is
something	someth	something
to	to	to
be	be	be
proud	proud	proud
of	of	of
