have	have	have
a	a	a
deficient	defici	deficient
theology	theolog	theology
.	.	.
They	they	They
do	do	do
not	not	not
know	know	know
God	god	God
because	becaus	because
they	they	they
have	have	have
rejected	reject	rejected
Jesus	jesus	Jesus
Christ	christ	Christ
,	,	,
His	his	His
Son	son	Son
,	,	,
and	and	and
they	they	they
stand	stand	stand
condemned	condemn	condemned
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
that	that	that
that	that	that
statement	statement	statement
is	is	is
Islamophobic	islamophob	Islamophobic
?	?	?
Vought	vought	Vought
Absolutely	absolut	Absolutely
not	not	not
,	,	,
Senator	senat	Senator
.	.	.
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
,	,	,
and	and	and
I	i	I
believe	believ	believe
in	in	in
a	a	a
Christian	christian	Christian
set	set	set
of	of	of
principles	principl	principle
based	base	based
on	on	on
my	my	my
faith	faith	faith
.	.	.
Sanders	sander	Sanders
Forgive	forgiv	Forgive
me	me	me
,	,	,
we	we	we
just	just	just
don	don	don
t	t	t
have	have	have
a	a	a
lot	lot	lot
of	of	of
time	time	time
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
people	peopl	people
in	in	in
the	the	the
Muslim	muslim	Muslim
religion	religion	religion
stand	stand	stand
condemned	condemn	condemned
?	?	?
Is	is	Is
that	that	that
your	your	your
view	view	view
?	?	?
Vought	vought	Vought
Again	again	Again
,	,	,
Senator	senat	Senator
,	,	,
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
,	,	,
and	and	and
I	i	I
wrote	wrote	wrote
that	that	that
piece	piec	piece
in	in	in
accordance	accord	accordance
with	with	with
the	the	the
statement	statement	statement
of	of	of
faith	faith	faith
at	at	at
Wheaton	wheaton	Wheaton
College	colleg	College
.	.	.
Sanders	sander	Sanders
I	i	I
understand	understand	understand
that	that	that
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
how	how	how
many	mani	many
Muslims	muslim	Muslims
there	there	there
are	are	are
in	in	in
America	america	America
.	.	.
Maybe	mayb	Maybe
a	a	a
couple	coupl	couple
million	million	million
.	.	.
Are	are	Are
you	you	you
suggesting	suggest	suggesting
that	that	that
these	these	these
people	peopl	people
stand	stand	stand
condemned	condemn	condemned
?	?	?
What	what	What
about	about	about
Jews	jew	Jews
?	?	?
Do	do	Do
they	they	they
stand	stand	stand
condemned	condemn	condemned
too	too	too
?	?	?
Vought	vought	Vought
Senator	senat	Senator
,	,	,
I	i	I
m	m	m
a	a	a
Christian	christian	Christian
.	.	.
Sanders	sander	Sanders
I	i	I
understand	understand	understand
you	you	you
are	are	are
a	a	a
Christian	christian	Christian
,	,	,
but	but	but
this	this	this
country	countri	country
is	is	is
made	made	made
of	of	of
people	peopl	people
who	who	who
are	are	are
not	not	not
just	just	just
I	i	I
understand	understand	understand
that	that	that
Christianity	christian	Christianity
is	is	is
the	the	the
majority	major	majority
religion	religion	religion
,	,	,
but	but	but
there	there	there
are	are	are
other	other	other
people	peopl	people
of	of	of
different	differ	different
religions	religion	religion
in	in	in
this	this	this
country	countri	country
and	and	and
around	around	around
the	the	the
world	world	world
.	.	.
In	in	In
your	your	your
judgment	judgment	judgment
,	,	,
do	do	do
you	you	you
think	think	think
that	that	that
people	peopl	people
who	who	who
are	are	are
not	not	not
Christians	christian	Christians
are	are	are
going	go	going
to	to	to
be	be	be
condemned	condemn	condemned
?	?	?
Vought	vought	Vought
Thank	thank	Thank
you	you	you
for	for	for
probing	probe	probing
on	on	on
that	that	that
question	question	question
.	.	.
As	as	As
a	a	a
Christian	christian	Christian
,	,	,
I	i	I
believe	believ	believe
that	that	that
all	all	all
individuals	individu	individual
are	are	are
made	made	made
in	in	in
the	the	the
image	imag	image
of	of	of
God	god	God
and	and	and
are	are	are
worthy	worthi	worthy
of	of	of
dignity	digniti	dignity
and	and	and
respect	respect	respect
regardless	regardless	regardless
of	of	of
their	their	their
religious	religi	religious
beliefs	belief	belief
.	.	.
I	i	I
believe	believ	believe
that	that	that
as	as	a
a	a	a
Christian	christian	Christian
that	that	that
s	s	s
how	how	how
I	i	I
should	should	should
treat	treat	treat
all	all	all
individuals	individu	individual
.	.	.
Sanders	sander	Sanders
Do	do	Do
you	you	you
think	think	think
that	that	that
s	s	s
respectful	respect	respectful
of	of	of
other	other	other
religions	religion	religion
?	?	?
I	i	I
would	would	would
simply	simpli	simply
say	say	say
,	,	,
Mr	mr	Mr
.	.	.
Chairman	chairman	Chairman
,	,	,
that	that	that
this	this	this
nominee	nomine	nominee
is	is	is
really	realli	really
not	not	not
someone	someon	someone
who	who	who
this	this	this
country	countri	country
is	is	is
supposed	suppos	supposed
to	to	to
be	be	be
about	about	about
.	.	.
I	i	I
will	will	will
vote	vote	vote
no	no	no
.	.	.
CAN	can	CAN
THE	the	THE
US	us	US
GOVERNMENT	govern	GOVERNMENT
IMPOSE	impos	IMPOSE
RELIGIOUS	religi	RELIGIOUS
TESTS	test	TESTS
FOR	for	FOR
PUBLIC	public	PUBLIC
OFFICE	offic	OFFICE
The	the	The
Constitution	constitut	Constitution
says	say	say
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
can	can	can
t	t	t
impose	impos	impose
religious	religi	religious
tests	test	test
for	for	for
public	public	public
office	offic	office
.	.	.
But	but	But
scholars	scholar	scholar
say	say	say
Sen	sen	Sen
.	.	.
Bernie	berni	Bernie
Sanders	sander	Sanders
can	can	can
without	without	without
consequence	consequ	consequence
apply	appli	apply
his	his	his
own	own	own
religious	religi	religious
rubric	rubric	rubric
in	in	in
opposing	oppos	opposing
a	a	a
presidential	presidenti	presidential
nominee	nomine	nominee
who	who	who
believes	believ	belief
non	non	non
-Christians	-christian	-Christians
risk	risk	risk
going	go	going
to	to	to
hell	hell	hell
.	.	.
The	the	The
Vermont	vermont	Vermont
independent	independ	independent
,	,	,
who	who	who
is	is	is
Jewish	jewish	Jewish
but	but	but
not	not	not
particularly	particular	particularly
religious	religi	religious
,	,	,
grilled	grill	grilled
Russell	russel	Russell
Vought	vought	Vought
,	,	,
nominee	nomine	nominee
to	to	to
be	be	be
deputy	deputi	deputy
director	director	director
of	of	of
the	the	the
Office	offic	Office
of	of	of
Management	manag	Management
and	and	and
Budget	budget	Budget
,	,	,
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
focusing	focus	focusing
on	on	on
an	an	an
article	articl	article
he	he	he
wrote	wrote	wrote
that	that	that
said	said	said
Muslims	muslim	Muslims
do	do	do
not	not	not
know	know	know
God	god	God
because	becaus	because
they	they	they
have	have	have
rejected	reject	rejected
Jesus	jesus	Jesus
Christ	christ	Christ
his	his	his
Son	son	Son
,	,	,
and	and	and
they	they	they
stand	stand	stand
condemned	condemn	condemned
.	.	.
Sanders	sander	Sanders
asked	ask	asked
if	if	if
that	that	that
view	view	view
was	was	wa
Islamophobic	islamophob	Islamophobic
,	,	,
and	and	and
if	if	if
Jews	jew	Jews
also	also	also
stand	stand	stand
condemned	condemn	condemned
.	.	.
Vought	vought	Vought
responded	respond	responded
that	that	that
he	he	he
is	is	is
a	a	a
Christian	christian	Christian
.	.	.
In	in	In
your	your	your
judgment	judgment	judgment
,	,	,
do	do	do
you	you	you
think	think	think
that	that	that
people	peopl	people
who	who	who
are	are	are
not	not	not
Christians	christian	Christians
are	are	are
going	go	going
to	to	to
be	be	be
condemned	condemn	condemned
?	?	?
Sanders	sander	Sanders
asked	ask	asked
.	.	.
Vought	vought	Vought
began	began	began
to	to	to
answer	answer	answer
before	befor	before
Sanders	sander	Sanders
interrupted	interrupt	interrupted
,	,	,
asking	ask	asking
if	if	if
that	that	that
viewpoint	viewpoint	viewpoint
was	was	wa
respectful	respect	respectful
of	of	of
other	other	other
religions	religion	religion
.	.	.
National	nation	National
Review	review	Review
columnist	columnist	columnist
David	david	David
French	french	French
writes	write	writes
that	that	that
Sanders	sander	Sanders
was	was	wa
imposing	impos	imposing
a	a	a
religious	religi	religious
test	test	test
for	for	for
public	public	public
office	offic	office
in	in	in
direct	direct	direct
violation	violat	violation
of	of	of
Article	articl	Article
VI	vi	VI
of	of	of
the	the	the
United	unit	United
States	state	States
Constitution	constitut	Constitution
and	and	and
that	that	that
he	he	he
was	was	wa
objecting	object	objecting
to	to	to
entirely	entir	entirely
orthodox	orthodox	orthodox
Christian	christian	Christian
beliefs	belief	belief
about	about	about
access	access	access
to	to	to
heaven	heaven	heaven
.	.	.
Constitutional	constitut	Constitutional
scholars	scholar	scholar
say	say	say
Sanders	sander	Sanders
,	,	,
who	who	who
said	said	said
he	he	he
will	will	will
vote	vote	vote
against	against	against
Vought	vought	Vought
,	,	,
may	may	may
violate	violat	violate
the	the	the
spirit	spirit	spirit
of	of	of
the	the	the
Constitution	constitut	Constitution
,	,	,
but	but	but
arguably	arguabl	arguably
not	not	not
Article	articl	Article
VI	vi	VI
,	,	,
which	which	which
states	state	state
no	no	no
religious	religi	religious
Test	test	Test
shall	shall	shall
ever	ever	ever
be	be	be
required	requir	required
as	as	a
a	a	a
Qualification	qualif	Qualification
to	to	to
any	ani	any
Office	offic	Office
or	or	or
public	public	public
Trust	trust	Trust
under	under	under
the	the	the
United	unit	United
States	state	States
.	.	.
No	no	No
senator	senat	senator
should	should	should
vote	vote	vote
against	against	against
a	a	a
nominee	nomine	nominee
based	base	based
on	on	on
his	his	his
or	or	or
her	her	her
religion	religion	religion
.	.	.
It	it	It
would	would	would
violate	violat	violate
the	the	the
spirit	spirit	spirit
if	if	if
not	not	not
the	the	the
letter	letter	letter
of	of	of
the	the	the
Constitution	constitut	Constitution
.	.	.
But	but	But
senators	senat	senator
can	can	can
vote	vote	vote
against	against	against
nominees	nomine	nominee
for	for	for
any	ani	any
reason	reason	reason
or	or	or
no	no	no
reason	reason	reason
at	at	at
all	all	all
.	.	.
There	there	There
would	would	would
be	be	be
no	no	no
legal	legal	legal
consequence	consequ	consequence
,	,	,
and	and	and
the	the	the
nominee	nomine	nominee
would	would	would
have	have	have
no	no	no
forum	forum	forum
for	for	for
complaint	complaint	complaint
.	.	.
Allan	allan	Allan
Vestal	vestal	Vestal
of	of	of
Drake	drake	Drake
University	univers	University
Law	law	Law
School	school	School
says	say	say
the	the	the
Constitution	constitut	Constitution
s	s	s
religious	religi	religious
-test	-test	-test
ban	ban	ban
does	doe	doe
not	not	not
provide	provid	provide
a	a	a
mechanism	mechan	mechanism
for	for	for
inquiring	inquir	inquiring
into	into	into
the	the	the
motivations	motiv	motivation
of	of	of
individual	individu	individual
senators	senat	senator
and	and	and
representatives	repres	representative
in	in	in
the	the	the
votes	vote	vote
they	they	they
cast	cast	cast
.	.	.
There	there	There
is	is	is
no	no	no
constitutional	constitut	constitutional
constraint	constraint	constraint
on	on	on
yea	yea	yea
or	or	or
nay	nay	nay
votes	vote	vote
,	,	,
so	so	so
yes	yes	yes
he	he	he
can	can	can
do	do	do
it	it	it
,	,	,
agrees	agre	agrees
Richard	richard	Richard
Epstein	epstein	Epstein
,	,	,
a	a	a
New	new	New
York	york	York
University	univers	University
law	law	law
professor	professor	professor
.	.	.
So	so	So
now	now	now
Trump	trump	Trump
nominees	nomine	nominee
will	will	will
all	all	all
be	be	be
attacked	attack	attacked
for	for	for
their	their	their
religion	religion	religion
?	?	?
This	this	This
is	is	is
really	realli	really
dangerous	danger	dangerous
territory	territori	territory
.	.	.
Read	read	Read
more	more	more
US	us	US
News	news	News
